"What did you learn yesterday/this week?";true;["Junior"]
"What excites or interests you about coding?";false;["Junior"]
"What is a recent technical challenge you experienced and how did you solve it?";true;["Junior"]
"When building a new web site or maintaining one, can you explain some techniques you have used to increase performance?";true;["Semi-Senior","Frontend"]
"Can you describe some SEO best practices or techniques you have used lately?";false;["Semi-Senior","Frontend"]
"Can you explain any common techniques or recent issues solved in regards to front-end security?";false;["Semi-Senior","Frontend"]
"What actions have you personally taken on recent projects to increase maintainability of your code?";true;["Semi-Senior"]
"Talk about your preferred development environment.";false;["Semi-Senior"]
"Which version control systems are you familiar with?";false;["Semi-Senior"]
"Can you describe your workflow when you create a web page?";false;["Semi-Senior","Frontend"]
"If you have 5 different stylesheets, how would you best integrate them into the site?";false;["Semi-Senior","Frontend"]
"Can you describe the difference between progressive enhancement and graceful degradation?";false;["Semi-Senior","Frontend"]
"How would you optimize a website's assets/resources?";false;["Semi-Senior","Frontend"]
"How many resources will a browser download from a given domain at a time?";false;["Semi-Senior","Frontend"]
"Name 3 ways to decrease page load (perceived or actual load time).";false;["Semi-Senior","Frontend"]
"If you jumped on a project and they used tabs and you used spaces, what would you do?";false;["Semi-Senior"]
"Describe how you would create a simple slideshow page.";false;["Junior","Frontend"]
"If you could master one technology this year, what would it be?";false;["Senior","Frontend"]
"Explain the importance of standards and standards bodies.";false;["Senior","Frontend"]
"What is Flash of Unstyled Content? How do you avoid FOUC?";false;["Semi-Senior","Frontend"]
"Explain what ARIA and screenreaders are, and how to make a website accessible.";false;["Senior","Frontend"]
"Explain some of the pros and cons for CSS animations versus JavaScript animations.";false;["Senior","Frontend"]
"What does CORS stand for and what issue does it address?";false;["Senior","Frontend"]
"How did you handle a disagreement with your boss or your collaborator?";true;["Semi-Senior","Frontend"]
"What resources do you use to learn about the latest in front end development and design?";false;["Semi-Senior","Frontend"]
"What is CSS selector specificity and how does it work?";true;["Junior","Frontend", "CSS"]
"What's the difference between "resetting" and "normalizing" CSS? Which would you choose, and why?";false;["Semi-Senior","Frontend", "CSS"]
"Describe Floats and how they work.";false;["Junior","Frontend", "CSS"]
"Describe z-index and how stacking context is formed.";;["Junior","Frontend", "CSS"]
"Describe BFC (Block Formatting Context) and how it works.";false;["Semi-Senior","Frontend", "CSS"]
"What are the various clearing techniques and which is appropriate for what context?";false;["Senior","Frontend", "CSS"]
"How would you approach fixing browser-specific styling issues?";false;["Semi-Senior","Frontend", "CSS"]
"How do you serve your pages for feature-constrained browsers?";false;["Semi-Senior","Frontend", "CSS"]
"What are the different ways to visually hide content (and make it available only for screen readers)?";false;["Semi-Senior","Frontend", "CSS"]
"Have you ever used a grid system, and if so, what do you prefer?";false;["Semi-Senior","Frontend", "CSS"]
"Have you used or implemented media queries or mobile specific layouts/CSS?";false;["Junior","Frontend", "CSS"]
"Are you familiar with styling SVG? <script>alert('NONO')</script>";false;["Semi-Senior","Frontend", "CSS"]
"Can you give an example of an @media property other than screen?";false;["Semi-Senior","Frontend", "CSS"]
"What are some of the "gotchas" for writing efficient CSS?";false;["Senior","Frontend", "CSS"]
"What are the advantages/disadvantages of using CSS preprocessors?";false;["Senior","Frontend", "CSS"]
"How would you implement a web design comp that uses non-standard fonts?";false;["Semi-Senior","Frontend", "CSS"]
"Explain how a browser determines what elements match a CSS selector.";false;["Senior","Frontend", "CSS"]
"Describe pseudo-elements and discuss what they are used for.";false;["Senior","Frontend", "CSS"]
"Explain your understanding of the box model and how you would tell the browser in CSS to render your layout in different box models.";false;["Semi-Senior","Frontend", "CSS"]
"What does * { box-sizing: border-box; } do? What are its advantages?";false;["Senior","Frontend", "CSS"]
"What is the CSS display property and can you give a few examples of its use?";false;["Semi-Senior","Frontend", "CSS"]
"What's the difference between inline and inline-block?";false;["Semi-Senior","Frontend", "CSS"]
"What's the difference between the "nth-of-type()" and "nth-child()" selectors?";false;["Semi-Senior","Frontend", "CSS"]
